##Data Table S3. List of differentially expressed genes and which cell type(s) they are differentially expressed in.,,,,,,,,,,,,,,,,,,,,,,,
,B-Asian,B-European,NK-Asian,NK-European,PB-Asian,PB-European,Progen-Asian,Progen-European,Prolif-Asian,Prolif-European,T4-Asian,T4-European,T8-Asian,T8-European,cDC-Asian,cDC-European,cM-Asian,cM-European,ncM-Asian,ncM-European,pDC-Asian,pDC-European,Module
OAS3,,,,,,,,,,,,,,,,,1.073408783,1.338542619,,,,,Up-Pan
OASL,,,,,,,,,,,,,,,,,,1.563287794,,,,,Up-Pan
ODF3B,,,,,,,,,,,,0.917047929,,,,,,,,0.299466798,,,Up-Pan
OSM,,,,,,,,,,,,0.549568301,,,,,-1.038577861,-0.65442301,,,,,Up-B
PARP12,,,,,,,,,,,,,,,,,,0.759991297,,,,,Up-Pan
PARP14,,0.40643232,,,,,,,,,0.50759905,,,,,,0.556495197,0.756615303,,,,,Up-Pan
PARP9,,,,,,,,,,,0.739534423,0.695085632,,,,,0.736062812,1.174674478,,,,,Up-Pan
PASK,,,,,,,,,,,-0.693967773,,,,,,,,,,,,Down-Pan
PATL2,,,,,,,,,,,,,0.685594218,0.811135471,,,,,,,,,Up-T
PIK3R1,,,,-0.733622772,,,,,,,,,,-0.556570659,,,,,,,,, 
PIM1,,,,0.438749786,,,,,,,0.500410469,0.538954691,,0.481094865,,,,,,,,,Up-T
PITPNC1,,,,-0.502804455,,,,,,,,,,-0.349061807,,,,,,,,,Down-Pan
PLAC8,,,,0.227777819,,,,,,,,,,,,,0.818119121,0.901522032,,0.764255435,,0.516333874,Up-Pan
PLD4,0.58370414,,,,,,,,,,,,,,,,,,,,,,Up-B
PLEKHF2,,0.550742427,,,,,,,,,,,,,,,,,,,,,Down-Monocyte
PLSCR1,,,,,,,,,,,0.826472564,0.672967782,0.630866408,,,,0.440286399,,,1.012151189,,,Up-Pan
PNPT1,,,,,,,,,,,,,,,,,,0.501108188,,,,,Up-Monocyte
PPIF,,,,,,,,,,,,,,,,,-0.569618604,-0.343830541,,,,,Up-T
PPM1K,0.302304224,0.277354731,,,,,,,,,,0.362981242,,,,,,0.742108701,,,,,Up-Pan
PPP1R15A,-0.437167621,,-0.700915911,,,,,,,,-0.559018684,-0.315986134,-0.822809561,-0.40286301,,,-0.605881241,-0.361688354,-0.530809403,-0.266183379,,,Up-B
PPP1R15B,,,,,,,,,,,,,,,,,-0.541264768,-0.292608654,,,,,Up-B
PRDX4,,,,,,,,,,,0.508265686,0.454408719,,,,,,,,,,,Up-T
PRMT10,,,,,,,,,,,-0.655693079,-0.385374557,-0.68213712,-0.358991192,,,-0.690276707,-0.47188848,,,,,Up-T
PSMB9,0.389253937,0.287048089,,0.392494747,,,,,,,0.378692553,0.288423481,0.293300267,0.22198108,,0.465390576,0.465029459,0.519240863,0.380340012,0.458514685,,,Up-Pan
PSME2,0.333197797,0.360202598,0.300010837,0.504080051,,,,,,0.531474782,0.359043665,0.300116553,0.347627821,0.311689016,0.496901934,0.389274675,0.38773955,0.516292074,0.340083756,0.399369332,,,Up-Pan
PTCH2,,,,,,,,,,,,,,,,,-0.694096864,,,,,,Down-Monocyte
PTGER2,,,,,,,,,,,0.651184458,0.632058891,0.399918337,0.542635322,,,,,,,,,Up-T
PTGER4,,,,,,,,,,,-0.380711776,,,,,,-0.501950905,,,,,,Up-B
PTGS2,,,,,,,,,,,,,,,,,-1.085671861,-0.771361565,,,,,Up-T
RABGAP1L,,,,,,,,,,,0.29454776,0.21844959,,,,,,0.766400144,,0.356826892,,,Up-Monocyte
RBM38,,,,,,,,,,,,,-0.408296076,-0.550301609,,,,,,,,,Up-T
RGCC,,,,,,,,,,,-0.596137986,-0.388887821,-0.828455405,,,,-0.849650688,-0.490629983,,,,,Up-T
RGS1,-0.689375514,,,,,,,,,,,,,,,,,,,,,,Up-B
RNASE2,,,,,,,,,,,,,,,,,0.582865405,,,,,,Up-Monocyte
RNF213,,0.301949175,,0.252923674,,,,,,,0.215560903,0.231079869,0.288915721,0.213032614,,,0.633790583,0.662703262,,0.457982256,,,Up-Pan
RNU12,,,,,,,,,,,-0.737445447,-0.80325941,,,,,-0.910694616,,,,,,Down-Monocyte
RP1-313I6.12,-0.37002728,,,,,,,,,,-0.751388482,-0.501119416,-0.997710494,,,,,,,,,,Up-B
RP11-108M9.4,,,,,,,,,,,,,,,,,,-0.522112773,,,,,Down-Monocyte
RP11-1399P15.1,,,,,,,,,,,0.690414416,,,,,,,,,,,,Up-T
RP11-143J12.2,,,,,,,,,,,-0.54530365,-0.249287896,,,,,,,,,,,Down-Pan
RP11-164H13.1,0.934270384,1.675226057,,,,,,,,,,,,,,,,,,,,,Up-B
RP11-191L17.1,,,,,,,,,,,-0.53947229,,,,,,,,,,,,Down-Pan
RP11-51J9.5,,,-0.583179058,-0.516027136,,,,,,,-0.369836526,-0.243205177,-0.364111057,,,,,,,,,,Down-Monocyte
RP11-796E2.4,,,,,,,,,,,-0.559976562,-0.332475741,-0.444032298,,,,,,,,,,Down-Pan
RP5-1073O3.7,,,,,,,,,,,-0.599195517,-0.654939533,,,,,,,,,,,Up-B
RP5-882C2.2,,,,,,,,,,,-0.565724826,,,,,,,,,,,,Down-Pan
RP5-887A10.1,-0.58125198,,,,,,,,,,,,,,,,,,,,,,Down-Pan
RPPH1,,,,,,,,,,,,,,,,,-1.313384812,,,,,,Down-Monocyte
RPS27L,,,,0.283482619,,,,,,,0.10779384,0.158081686,,0.196740584,,,,,0.536234809,0.516558724,,,Up-Monocyte
RTKN2,,,,,,,,,,,0.506856014,,,,,,,,,,,,Up-T
S100A11,,,,0.67426605,,,,,,,0.419843667,0.460440402,,,,0.224417667,0.278136852,0.18500853,0.263463927,0.205370234,,,Up-Monocyte
SAMD3,,,,,,,,,,,0.519036291,0.474777254,,,,,,,,,,,Up-T
SAMD4A,,,,,,,,,,,,,,,,,,0.667639828,,,,,Up-Monocyte
