,Cell Type
1601,Monocytes
1602,NK
1603,Monocytes
1604,CD8 T Cells
1605,Monocytes
1606,NK
1607,Monocytes
1608,Monocytes
1609,Monocytes
1610,Monocytes
1611,Monocytes
1612,Monocytes
1613,Monocytes
1614,Monocytes
1615,NK
1616,NK
1617,Monocytes
1618,NK
1619,Monocytes
1620,Monocytes
1621,Monocytes
1622,Monocytes
1623,Monocytes
1624,Monocytes
1625,NK
1626,Monocytes
1627,NK
1628,T Cells
1629,NK
1630,NK
1631,Monocytes
1632,T helpers
1633,NK
1634,Monocytes
1635,T Cells
1636,T Cells
1637,NK
1638,Monocytes
1639,NK
1640,Monocytes
1641,Monocytes
1642,Monocytes
1643,T Cells
1644,Monocytes
1645,Monocytes
1646,Monocytes
1647,Dendritic Cells
1648,Monocytes
1649,T Cells
1650,Monocytes
1651,Monocytes
1652,Monocytes
1653,Monocytes
1654,Monocytes
1655,Monocytes
1656,Monocytes
1657,NK
1658,Monocytes
1659,Monocytes
1660,Dendritic Cells
1661,Monocytes
1662,Monocytes
1663,Monocytes
1664,Monocytes
1665,T Cells
1666,Monocytes
1667,Monocytes
1668,Monocytes
1669,Monocytes
1670,Monocytes
1671,Monocytes
1672,Monocytes
1673,Monocytes
1674,Monocytes
1675,CD8 T Cells
1676,CD8 T Cells
1677,Dendritic Cells
1678,T Cells
1679,Monocytes
1680,T Cells 
1681,Monocytes
1682,Monocytes
1683,Monocytes
1684,T Cells
1685,CD8 T Cells
1686,Monocytes
1687,B Cells
1688,Monocytes
1689,NK
1690,Monocytes
1691,NK
1692,CD8 T Cells
1693,NK
1694,NK
1695,NK
1696,NK
1697,Dendritic Cells
1698,B Cells
1699,CD8 T Cells
1700,Monocytes
1701,Monocytes
1702,Monocytes
1703,Monocytes
1704,Monocytes
1705,NK
1706,T Cells 
1707,NK
1708,Monocytes
1709,B Cells
1710,T helpers
1711,Monocytes
1712,Monocytes
1713,Monocytes
1714,Monocytes
1715,Monocytes
1716,Monocytes
1717,T Cells 
1718,Monocytes
1719,T helpers
1720,Monocytes
1721,Monocytes
1722,CD8 T Cells
1723,T helpers
1724,Dendritic Cells
1725,Monocytes
1726,NK
1727,NK
1728,T helpers
1729,Monocytes
1730,Monocytes
1731,NK
1732,Monocytes
1733,Monocytes
1734,Monocytes
1735,Monocytes
1736,T helpers
1737,NK
1738,Monocytes
1739,CD8 T Cells
1740,Monocytes
1741,NK
1742,Monocytes
1743,T Cells
1744,Monocytes
1745,CD8 T Cells
1746,B Cells
1747,NK
1748,NK
1749,Monocytes
1750,Monocytes
1751,Monocytes
1752,T Cells 
1753,Monocytes
1754,T Cells 
1755,Monocytes
1756,Monocytes
1757,Monocytes
1758,T helpers
1759,Monocytes
1760,Monocytes
1761,Monocytes
1762,CD8 T Cells
1763,Monocytes
1764,NK
1765,NK
1766,Monocytes
1767,Monocytes
1768,Monocytes
1769,Monocytes
1770,Monocytes
1771,Monocytes
1772,Monocytes
1773,NK
1774,CD8 T Cells
1775,Monocytes
1776,T Cells 
1777,NK
1778,B Cells
1779,Monocytes
1780,Monocytes
1781,Monocytes
1782,Monocytes
1783,Monocytes
1784,Monocytes
1785,Monocytes
1786,T Cells 
1787,Monocytes
1788,T helpers
1789,NK
1790,Monocytes
1791,Monocytes
1792,T Cells 
1793,B Cells
1794,NK
1795,NK
1796,NK
1797,Monocytes
1798,Monocytes
1799,Monocytes
1800,T Cells
1801,Monocytes
1802,NK
1803,T helpers
1804,Monocytes
1805,CD8 T Cells
1806,Monocytes
1807,NK
1808,T helpers
1809,Monocytes
1810,Monocytes
1811,NK
1812,CD8 T Cells
1813,T Cells
1814,Dendritic Cells
1815,Monocytes
1816,T helpers
1817,Monocytes
1818,NK
1819,T helpers
1820,Dendritic Cells
1821,Monocytes
1822,Monocytes
1823,CD8 T Cells
1824,Monocytes
1825,Monocytes
1826,Monocytes
1827,Monocytes
1828,T Cells
1829,Monocytes
1830,Monocytes
1831,Monocytes
1832,Monocytes
1833,Monocytes
1834,Monocytes
1835,Monocytes
1836,Monocytes
1837,Monocytes
1838,Monocytes
1839,CD8 T Cells
1840,Monocytes
1841,CD8 T Cells
1842,T Cells
1843,Monocytes
1844,NK
1845,CD8 T Cells
1846,Monocytes
1847,NK
1848,Monocytes
1849,CD8 T Cells
1850,NK
1851,Monocytes
1852,NK
1853,Monocytes
1854,NK
1855,Monocytes
1856,Monocytes
1857,CD8 T Cells
1858,NK
1859,Monocytes
1860,NK
1861,Monocytes
1862,Monocytes
1863,T Cells
1864,NK
1865,T Cells
1866,Monocytes
1867,Monocytes
1868,T helpers
1869,NK
1870,Monocytes
1871,Dendritic Cells
1872,NK
1873,Dendritic Cells
1874,CD8 T Cells
1875,NK
1876,NK
1877,Monocytes
1878,Monocytes
1879,CD8 T Cells
1880,CD8 T Cells
1881,Monocytes
1882,Monocytes
1883,NK
1884,Monocytes
1885,NK
1886,Dendritic Cells
1887,Monocytes
1888,Dendritic Cells
1889,Monocytes
1890,Monocytes
1891,Monocytes
1892,NK
1893,Monocytes
1894,Dendritic Cells
1895,CD8 T Cells
1896,Monocytes
1897,Monocytes
1898,Monocytes
1899,Monocytes
1900,Monocytes
1901,CD8 T Cells
1902,T Cells 
1903,NK
1904,NK
1905,T Cells 
1906,CD8 T Cells
1907,Monocytes
1908,Monocytes
1909,Monocytes
1910,NK
1911,Monocytes
1912,NK
1913,NK
1914,Monocytes
1915,NK
1916,T helpers
1917,Monocytes
1918,Monocytes
1919,NK
1920,T helpers
1921,B Cells
1922,CD8 T Cells
1923,NK
1924,Monocytes
1925,Monocytes
1926,Monocytes
1927,CD8 T Cells
1928,Monocytes
